	Data	List of sets
525	болт	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
526	болт	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
527	втулка резиновая пику	{'10.01'}
528	болт мебельный	{'10.09', '10.02', '10.01'}
529	болт мебельный	{'10.09', '10.02', '10.01'}
530	болт	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
531	дюбель ассортименте	{'10.01'}
532	прессшайба сверло	{'10.01'}
533	саморез	{'10.01', '10.05', '10.02', '10.06', '10.08'}
534	винт	{'10.11.01', '10.01', '10.05', '10.02', '10.09', '10.10', '10.06', '10.12', '10.08'}
535	саморез	{'10.01', '10.05', '10.02', '10.06', '10.08'}
536	саморез	{'10.01', '10.05', '10.02', '10.06', '10.08'}
537	саморез кровельный	{'10.08', '10.02', '10.01'}
538	саморез кровельный	{'10.08', '10.02', '10.01'}
539	винт	{'10.11.01', '10.01', '10.05', '10.02', '10.09', '10.10', '10.06', '10.12', '10.08'}
540	винт пот	{'10.02', '10.01'}
541	гайка	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
542	гайка	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
543	гайка	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
544	шуруп буром	{'10.01'}
545	метчик трубн	{'10.12', '10.01'}
546	метчик трубн	{'10.12', '10.01'}
547	метчик ручн	{'10.12', '10.01', '10.05'}
548	метчик маш ручн	{'10.12', '10.01'}
549	метчик	{'10.09', '10.12', '10.01', '10.05'}
550	метчик	{'10.09', '10.12', '10.01', '10.05'}
551	метчик ручн	{'10.12', '10.01', '10.05'}
552	метчик	{'10.09', '10.12', '10.01', '10.05'}
553	метчик	{'10.09', '10.12', '10.01', '10.05'}
554	метчик	{'10.09', '10.12', '10.01', '10.05'}
555	метчик	{'10.09', '10.12', '10.01', '10.05'}
556	метчик рмк	{'10.01'}
557	метчик	{'10.09', '10.12', '10.01', '10.05'}
558	микрометр	{'10.09', '10.12', '10.01'}
559	манометр кислородный	{'10.01'}
560	манометр мпз кгс	{'10.01'}
561	мультиметр	{'10.11.02', '10.01', '10.09', '10.02', '10.10', '10.12', '10.08'}
562	мундштук	{'10.09', '10.01'}
563	мундштук	{'10.09', '10.01'}
564	молоток	{'10.01', '10.05', '10.09', '10.10', '10.06', '10.12'}
565	молоток	{'10.01', '10.05', '10.09', '10.10', '10.06', '10.12'}
566	молоток	{'10.01', '10.05', '10.09', '10.10', '10.06', '10.12'}
567	молоток слесарный	{'10.01', '10.09', '10.10', '10.06', '10.12'}
568	молоток слесарный	{'10.01', '10.09', '10.10', '10.06', '10.12'}
569	маска защитная	{'10.09', '10.12', '10.01'}
570	маска сварщика	{'10.01', '10.09', '10.10', '10.06', '10.12'}
571	маска сварщика	{'10.01', '10.09', '10.10', '10.06', '10.12'}
572	механизм прижимной	{'10.01'}
573	лом черных металлов	{'10.04', '10.06', '10.01'}
574	металлолом	{'10.04', '10.06', '10.01'}
575	металлолом	{'10.04', '10.06', '10.01'}
576	металлолом	{'10.04', '10.06', '10.01'}
577	металлолом	{'10.04', '10.06', '10.01'}
578	металлолом	{'10.04', '10.06', '10.01'}
579	механизм финский	{'10.01'}
580	маршрутизатор беспроводной wifi роутер	{'10.01'}
581	молоко	{'10.08', '10.06', '10.01'}
582	маховик металлический	{'10.01'}
583	наконечник	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
584	наконечник	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
585	наконечник	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
586	насос ножной	{'10.01', '10.05'}
587	набор съемников	{'10.09', '10.12', '10.01'}
588	набор насадок звездочка	{'10.01'}
589	набор насадок звездочка	{'10.01'}
590	набор метчиков плашек	{'10.09', '10.12', '10.01'}
591	набор слесарных работ	{'10.01'}
592	набор слесарных работ	{'10.01'}
593	напильник круглый	{'10.09', '10.10', '10.01'}
594	напильник гранный	{'10.09', '10.01'}
595	нож технический	{'10.09', '10.01'}
596	напильник квадр	{'10.09', '10.12', '10.01'}
597	напильник	{'10.01', '10.09', '10.10', '10.06', '10.12', '10.08'}
598	напильник	{'10.01', '10.09', '10.10', '10.06', '10.12', '10.08'}
599	напильник квадр	{'10.09', '10.12', '10.01'}
600	напильник квадр	{'10.09', '10.12', '10.01'}
601	напильник квадрат	{'10.09', '10.12', '10.01'}
602	напильник плоский	{'10.09', '10.10', '10.12', '10.01'}
603	напильник	{'10.01', '10.09', '10.10', '10.06', '10.12', '10.08'}
604	напильник металлу круглый	{'10.01'}
605	нож строгальный станка	{'10.01'}
606	ножницы металлу	{'10.11.02', '10.01', '10.09', '10.02', '10.06', '10.12'}
607	ножовка дереву	{'10.11.02', '10.01', '10.09', '10.06', '10.12'}
608	ножовка металлу	{'10.09', '10.12', '10.06', '10.01'}
609	набор настольный	{'10.09', '10.06', '10.01'}
610	набор накидных ключей	{'10.01'}
611	набор надфилей	{'10.09', '10.12', '10.01'}
612	направляющая потолка	{'10.01'}
613	набор	{'10.11.02', '10.01', '10.05', '10.02', '10.09', '10.10', '10.06', '10.12', '10.08'}
614	набор деталей ремонта ручного стартера	{'10.01'}
615	набор запасных частей стартер	{'10.01'}
616	набор автомобилиста	{'10.01'}
617	наличник орех	{'10.01'}
618	очки защитные	{'10.11.01', '10.01', '10.09', '10.10', '10.06', '10.12'}
619	очки защитные	{'10.11.01', '10.01', '10.09', '10.10', '10.06', '10.12'}
620	очки защитные	{'10.11.01', '10.01', '10.09', '10.10', '10.06', '10.12'}
621	очки газосварщика	{'10.11.01', '10.01', '10.09', '10.10', '10.12'}
622	очки газосварщика	{'10.11.01', '10.01', '10.09', '10.10', '10.12'}
623	отвертка крестовая	{'10.09', '10.10', '10.01'}
624	отвертка крестовая рнз	{'10.01'}
625	отвертка	{'10.11.02', '10.01', '10.09', '10.10', '10.06', '10.12', '10.08'}
626	отвертка	{'10.11.02', '10.01', '10.09', '10.10', '10.06', '10.12', '10.08'}
627	отвертка шлиф	{'10.01'}
628	отвертка шлиф	{'10.01'}
629	отвертка шлицевая	{'10.09', '10.12', '10.06', '10.01'}
630	отвертка шлицевая	{'10.09', '10.12', '10.06', '10.01'}
631	отвертка ударная	{'10.09', '10.12', '10.01'}
632	набор отверток	{'10.11.02', '10.01', '10.09', '10.10', '10.06', '10.12', '10.08'}
633	набор диэлектрич отверток	{'10.01'}
634	набор отверток	{'10.11.02', '10.01', '10.09', '10.10', '10.06', '10.12', '10.08'}
635	набор отверток крестовых	{'10.01'}
636	набор отверток сталь	{'10.01'}
637	опрыскиватель	{'10.09', '10.06', '10.01'}
638	опора стойки	{'10.01', '10.05'}
639	переносная опора	{'10.01'}
640	огнебиозащита огнебио сенеж	{'10.01'}
641	огнетушитель автомоб	{'10.09', '10.01'}
642	огнетушитель манометром	{'10.01'}
643	оргалит	{'10.01'}
644	обои флизелин	{'10.08', '10.01'}
645	пленка желтая	{'10.01'}
646	пленка желтая	{'10.01'}
647	пленка белая	{'10.06', '10.01'}
648	пленка белая	{'10.06', '10.01'}
649	пленка белая	{'10.06', '10.01'}
650	пленка белая	{'10.06', '10.01'}
651	пленка черная	{'10.01'}
652	пленка монтажная	{'10.01'}
653	пластырь ремонта камер	{'10.01'}
654	паронитмм	{'10.01'}
655	поролон	{'10.01', '10.09', '10.02', '10.06', '10.12'}
656	пластик	{'10.11.01', '10.01', '10.05', '10.02', '10.09', '10.10', '10.06', '10.12', '10.08'}
657	папка годового отчета	{'10.06', '10.01'}
658	помпа воды	{'10.09', '10.06', '10.01'}
659	поликарбонат сотовый корич	{'10.01'}
660	поликарбонат сотовый прозр	{'10.01'}
661	полоса	{'10.01', '10.05', '10.09', '10.06', '10.12', '10.08'}
662	полоса	{'10.01', '10.05', '10.09', '10.06', '10.12', '10.08'}
663	полоса	{'10.01', '10.05', '10.09', '10.06', '10.12', '10.08'}
664	полоса	{'10.01', '10.05', '10.09', '10.06', '10.12', '10.08'}
665	труба проф	{'10.08', '10.02', '10.01'}
666	труба проф	{'10.08', '10.02', '10.01'}
667	пассатижи	{'10.01', '10.09', '10.10', '10.06', '10.12'}
668	термопленка факса	{'10.01'}
669	полоса	{'10.01', '10.05', '10.09', '10.06', '10.12', '10.08'}
670	плашка	{'10.09', '10.12', '10.06', '10.01'}
671	плашка	{'10.09', '10.12', '10.06', '10.01'}
672	плашка	{'10.09', '10.12', '10.06', '10.01'}
673	плашка	{'10.09', '10.12', '10.06', '10.01'}
674	плашка	{'10.09', '10.12', '10.06', '10.01'}
675	плашка	{'10.09', '10.12', '10.06', '10.01'}
676	плашка	{'10.09', '10.12', '10.06', '10.01'}
677	плашка	{'10.09', '10.12', '10.06', '10.01'}
678	плашка	{'10.09', '10.12', '10.06', '10.01'}
679	плашка	{'10.09', '10.12', '10.06', '10.01'}
680	плашка	{'10.09', '10.12', '10.06', '10.01'}
681	плашка	{'10.09', '10.12', '10.06', '10.01'}
682	плашка	{'10.09', '10.12', '10.06', '10.01'}
683	плашка трубная	{'10.01'}
684	плашка трубная	{'10.01'}
685	пруток	{'10.09', '10.08', '10.02', '10.01'}
686	пруток	{'10.09', '10.08', '10.02', '10.01'}
687	палочки чистки плоттера	{'10.01'}
688	подвес эпп асб	{'10.01'}
689	пинцет	{'10.09', '10.12', '10.01'}
690	пика ломик	{'10.01'}
691	пика лопатка	{'10.09', '10.01'}
692	пена	{'10.09', '10.08', '10.06', '10.01'}
693	промывка есо solvent sts	{'10.01'}
694	промывка двигателя	{'10.01'}
695	петля двери	{'10.01'}
696	патрон сверлильный	{'10.12', '10.01'}
697	патрон дрели	{'10.09', '10.12', '10.01'}
698	патрон	{'10.11.01', '10.01', '10.05', '10.02', '10.09', '10.10', '10.06', '10.12', '10.08'}
699	электропаяльник	{'10.12', '10.01'}
700	паяльник	{'10.09', '10.12', '10.02', '10.01'}
701	перемычка пвз	{'10.01'}
702	перемычка пвз	{'10.01'}
703	перемычка пвз	{'10.01'}
704	пломбир	{'10.09', '10.06', '10.01'}
705	пломба	{'10.09', '10.02', '10.06', '10.01'}
706	пергамин	{'10.01'}
707	профнастил оцинкованный	{'10.01'}
708	техпластина тканевой прокладкой тмкщ	{'10.01'}
709	перегородка	{'10.08', '10.02', '10.01'}
710	потолочное покрытие	{'10.01'}
711	потолок подвесной	{'10.01'}
712	проушина замочная	{'10.01'}
713	провод трп	{'10.01'}
714	провод пвс	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
715	провод	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
716	присоска	{'10.01'}
717	пружина концевая моп	{'10.01'}
718	плитка облицовочная	{'10.08', '10.01'}
719	пиломатериал обрезной	{'10.01'}
720	плитка тротуарная брусчатка	{'10.01'}
721	пневмопистолет	{'10.12', '10.01'}
722	пневмопистолет	{'10.12', '10.01'}
723	магнитный пускатель	{'10.01'}
724	пускатель телемеханик	{'10.01'}
725	пускатель магнитный	{'10.01'}
726	пускатель магнитный	{'10.01'}
727	панель	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
728	пропан	{'10.01', '10.05', '10.09', '10.06', '10.12', '10.08'}
729	пропан	{'10.01', '10.05', '10.09', '10.06', '10.12', '10.08'}
730	пропан	{'10.01', '10.05', '10.09', '10.06', '10.12', '10.08'}
731	пропан	{'10.01', '10.05', '10.09', '10.06', '10.12', '10.08'}
732	предохранитель	{'10.01', '10.05', '10.02', '10.06', '10.12'}
733	профиль	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
734	перчатки трикотажные	{'10.11.01', '10.01', '10.09', '10.10', '10.06'}
735	перчатки	{'10.11.01', '10.01', '10.05', '10.09', '10.10', '10.06'}
736	перчатки пвх	{'10.11.01', '10.01', '10.09', '10.10', '10.06'}
737	полотно ножовочное	{'10.09', '10.12', '10.01', '10.05'}
738	перчатки диэлектрические	{'10.10', '10.11.01', '10.01'}
739	перчатки диэлектрические	{'10.10', '10.11.01', '10.01'}
